family,neighborhood_median_bps,neighbor_positive_rate,horizon,coverage,confirmation_bps
reversal_a15_k20,21.159213031425423,0.75,90,0.01,-71.84811157811991
reversal_a30_k20,21.159213031425423,0.75,90,0.01,-71.84811157811991
reversal_a5_k20,10.827084631917094,0.75,90,0.01,-71.84811157811991
continuation_a5_k5,2.689646041970641,0.75,30,0.05,1.3099481523561625
continuation_a15_k5,2.689646041970641,0.75,30,0.05,1.3099481523561625
continuation_a30_k5,2.689646041970641,0.75,30,0.05,1.3099481523561625
continuation_a15_k10,-3.6060915054428286,0.0,120,0.2,-3.6060915054428286
continuation_a30_k10,-3.815699996283985,0.0,120,0.2,-3.815699996283985
continuation_a5_k10,-6.768526416595992,0.0,90,0.1,-11.34478564416659
continuation_a30_k15,-6.806590468535517,0.0,120,0.2,-5.921140504069192
reversal_a5_k10,-7.081234632746307,0.0,30,0.1,-9.029799298256613
continuation_a15_k15,-7.5829368234216945,0.0,120,0.2,-7.5829368234216945
reversal_a15_k10,-8.338800614707297,0.0,30,0.1,-9.401012874245701
reversal_a30_k10,-8.338800614707297,0.0,30,0.1,-9.401012874245701
continuation_a5_k30,-8.871283659359221,0.0,30,0.05,-12.410096435188148
continuation_a5_k15,-8.929216508149398,0.0,120,0.2,-12.57101766322494
continuation_a15_k20,-9.78171767060673,0.0,30,0.05,-11.058384538874888
continuation_a30_k20,-9.978658377846958,0.0,30,0.2,-9.978658377846958
continuation_a5_k20,-10.283087628227795,0.0,30,0.2,-10.283087628227795
continuation_a30_k30,-11.3039681629231,0.0,30,0.2,-11.3039681629231
continuation_a15_k30,-12.092017958031322,0.0,120,0.2,-9.525367488926161
reversal_a5_k5,-13.800520066250114,0.0,120,0.2,-13.800520066250114
reversal_a15_k5,-13.819007935116806,0.0,120,0.2,-13.819007935116806
reversal_a30_k5,-13.819007935116806,0.0,120,0.2,-13.819007935116806
reversal_a30_k15,-14.479158763987098,0.0,30,0.2,-14.479158763987098
reversal_a15_k15,-14.534958419467763,0.0,30,0.2,-14.534958419467763
reversal_a5_k15,-14.898322171796691,0.0,30,0.2,-14.898322171796691
reversal_a5_k30,-28.295461841687867,0.0,90,0.01,-28.295461841687867
reversal_a15_k30,-28.295461841687867,0.0,90,0.01,-28.295461841687867
reversal_a30_k30,-28.295461841687867,0.0,90,0.01,-28.295461841687867
