family,neighborhood_median_bps,neighbor_positive_rate,horizon,coverage,selected_cell_bps
direction_ml,-0.8368249944872364,0.2,60,0.05,-0.6299236155244334
wick_rejection,-2.2771059890268015,0.4,60,0.05,-2.836387461141297
impulse_reversal_15,-2.9284010237019946,0.3333333333333333,120,0.2,3.507554950633032
impulse_reversal_30,-4.943717721125501,0.0,120,0.1,-9.135101348517452
breakout_60,-11.190983095814074,0.0,30,0.2,-11.190983095814074
momentum_60,-11.372804646072966,0.0,90,0.2,-5.622619996710738
momentum_30,-11.6716914198097,0.0,30,0.05,-12.047284118526738
breakout_30,-12.289064569502134,0.0,30,0.1,-12.76230385422613
momentum_15,-12.34101942434744,0.0,30,0.1,-12.050640607035215
imbalance_15,-13.089035598674766,0.0,60,0.2,-13.040712947431324
