horizon,split,spearman,top_decile_mean_abs_bps,unconditional_mean_abs_bps
30,development,0.49305692727369627,55.712141686156585,23.167479160205485
30,confirmation,0.3732434671074737,40.290834959875326,20.355738938337854
30,final,0.42853828474749694,37.77895300505998,17.83656292625507
60,development,0.5081000907469558,78.19091777155114,32.61487898112119
60,confirmation,0.3548311300606301,54.598804185177926,28.931823642745822
60,final,0.4024062641564951,51.0521786260618,25.263533002633462
90,development,0.510340185360104,97.18425569588301,40.016804374658605
90,confirmation,0.33880727372072333,64.77484083936999,35.506607515729705
90,final,0.3832416168968749,62.25366434543257,30.99663290736997
120,development,0.5259970968701,113.66595439436418,46.360549488576616
120,confirmation,0.3285150536638892,72.30781035447829,40.94922743104916
120,final,0.3751445093518295,69.33513779278748,35.958527290203676
