split,cost_bps,sample_unit,sample_size,effective_sample_size,mean_return,standard_error,t_stat,p_value,p_value_two_sided,p_value_adjusted,method,alternative,strategy_id,hac_lag,bootstrap_block,repetitions,seed,null_mean,diagnostic_only,selection_context
development,0.0,calendar_day,463,199,0.0143222695057132,0.0040804053050436,3.5100114902825923,0.0002240436651869,0.0004480873303738,0.403278597336436,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,12.0,calendar_day,463,199,0.0115303097067182,0.0035277337626526,3.2684750274488508,0.0005406435949436,0.0010812871898873,0.9731584708985772,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,30.0,calendar_day,463,199,0.0073423700082258,0.0027144844266848,2.704885663018088,0.0034163951612828,0.0068327903225657,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,0.0,calendar_day,145,91,0.0018117154678559,0.0008932950390666,2.028126641953547,0.0212736622218016,0.0425473244436032,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,12.0,calendar_day,145,91,-0.0001003724442319,0.0005824936473701,-0.1723150882161037,0.5684050884543865,0.863189823091227,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,30.0,calendar_day,145,91,-0.0029685043123637,0.0009179132571116,-3.233970409910536,0.9993895894826764,0.0012208210346473,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,0.0,calendar_day,83,71,-0.0017370420538101,0.0010463514945558,-1.660094206247051,0.9515522488566468,0.0968955022867064,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,12.0,calendar_day,83,71,-0.0031398589552186,0.0013070717451349,-2.402208575700272,0.991851793198656,0.0162964136026882,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,30.0,calendar_day,83,71,-0.0052440843073313,0.0017969101683409,-2.918389800294311,0.9982407789279828,0.0035184421440344,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,0.0,calendar_day,463,199,0.0006914176564304,0.0007881741771897,0.877239671687409,0.190178236134137,0.380356472268274,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,12.0,calendar_day,463,199,-0.0021005421425645,0.0008349925795657,-2.515641688285336,0.9940592045814616,0.0118815908370768,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,30.0,calendar_day,463,199,-0.0062884818410569,0.001428960059589,-4.400740103866629,0.9999946058860856,1.078822782893961e-05,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,0.0,calendar_day,145,91,0.001460136063884,0.0010307975739362,1.4165109627764392,0.0783129783661163,0.1566259567322327,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,12.0,calendar_day,145,91,-0.0004519518482038,0.0007373380746556,-0.612950644675272,0.7300455126457333,0.5399089747085335,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
confirmation,30.0,calendar_day,145,91,-0.0033200837163357,0.0009780770920226,-3.394501050494704,0.9996562311186876,0.0006875377626245,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,0.0,calendar_day,83,71,-0.0017836262724127,0.0011082828267339,-1.6093602006530272,0.9462311987275374,0.1075376025449252,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,12.0,calendar_day,83,71,-0.0031864431738212,0.0012545731739927,-2.53986235309036,0.994455194805273,0.011089610389454,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
final,30.0,calendar_day,83,71,-0.0052906685259339,0.0016408901082054,-3.224267426244656,0.9993685230129136,0.0012629539741728,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,0.0,calendar_day,805,200,0.0012482854928725,0.0013098858589357,0.9529727222849774,0.1703019458377551,0.3406038916755103,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,12.0,calendar_day,805,200,-0.0035817145071274,0.0015662725555331,-2.2867760112851045,0.9888955498155046,0.0222089003689906,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
development,30.0,calendar_day,805,200,-0.0108267145071274,0.0022079344526629,-4.903548877580808,0.9999995293974548,9.41205090227571e-07,1.0,Newey-West HAC lag 7,greater,selected_strategy,7,not used,0,20260830,0,True,three confirmation-selected families reached final
